generation;individual;train_accuracy;test_accuracy
0;0;0.86615;0.8681
0;1;0.8559333333333333;0.856
0;2;0.8588833333333333;0.8579
0;3;0.8466666666666667;0.8402
0;4;0.8663166666666666;0.8658
0;5;0.8700833333333333;0.8682
0;6;0.8615;0.8659
0;7;0.8688;0.8676
0;8;0.8498;0.8483
0;9;0.85985;0.857
0;10;0.8569833333333333;0.8589
0;11;0.8596166666666667;0.8618
0;12;0.8757833333333334;0.8784
0;13;0.8661;0.865
0;14;0.8734666666666666;0.8698
0;15;0.8685166666666667;0.866
0;16;0.8507666666666667;0.8514
0;17;0.8658333333333333;0.8624
0;18;0.8673333333333333;0.8698
0;19;0.8551;0.8546
0;20;0.86535;0.8584
0;21;0.8702;0.8674
0;22;0.8385333333333334;0.8432
0;23;0.8443166666666667;0.8447
0;24;0.85785;0.8592
0;25;0.8640333333333333;0.8675
0;26;0.8671;0.8672
0;27;0.8562833333333333;0.852
0;28;0.8630666666666666;0.8653
0;29;0.8502333333333333;0.8517
0;30;0.8536833333333333;0.8526
0;31;0.86215;0.859
0;32;0.86705;0.8717
0;33;0.8585833333333334;0.8593
0;34;0.8716166666666667;0.8725
0;35;0.8444333333333334;0.8399
0;36;0.8783;0.8764
0;37;0.8701;0.8673
0;38;0.86815;0.8667
0;39;0.8531833333333333;0.8518
0;40;0.8565;0.8536
0;41;0.8562333333333333;0.8553
0;42;0.8700666666666667;0.8691
0;43;0.8582166666666666;0.8546
0;44;0.8497;0.8477
0;45;0.86605;0.8677
0;46;0.8702;0.8657
0;47;0.8556;0.8538
0;48;0.8555166666666667;0.855
0;49;0.8607166666666667;0.8632
0;50;0.8682166666666666;0.8663
0;51;0.8811;0.8824
0;52;0.8578;0.8576
0;53;0.87645;0.8766
0;54;0.8767333333333334;0.8752
0;55;0.8597833333333333;0.8586
0;56;0.87115;0.8706
0;57;0.8632;0.8625
0;58;0.8566166666666667;0.8551
0;59;0.8657666666666667;0.8667
0;60;0.8537666666666667;0.8551
0;61;0.8613333333333333;0.8617
0;62;0.87215;0.871
0;63;0.86235;0.8623
0;64;0.8572166666666666;0.8629
0;65;0.8720666666666667;0.8672
0;66;0.864;0.8633
0;67;0.85875;0.8572
0;68;0.8609166666666667;0.8617
0;69;0.8528833333333333;0.8495
0;70;0.8511833333333333;0.8533
0;71;0.8587166666666667;0.8554
0;72;0.84735;0.8479
0;73;0.8780333333333333;0.8763
0;74;0.86625;0.8663
0;75;0.8640333333333333;0.8603
0;76;0.8516;0.8481
0;77;0.8670166666666667;0.862
0;78;0.8769;0.8776
0;79;0.8546666666666667;0.8594
0;80;0.8807833333333334;0.8798
0;81;0.8630333333333333;0.8586
0;82;0.8708833333333333;0.8727
0;83;0.8699833333333333;0.8684
0;84;0.86495;0.8671
0;85;0.85215;0.8489
0;86;0.8694666666666667;0.8708
0;87;0.8532;0.8519
0;88;0.8665666666666667;0.8675
0;89;0.85035;0.8468
0;90;0.8556833333333334;0.8523
0;91;0.86455;0.8671
0;92;0.863;0.8624
0;93;0.8718666666666667;0.874
0;94;0.8672;0.8687
0;95;0.8701333333333333;0.8726
0;96;0.8684333333333333;0.8649
0;97;0.8840833333333333;0.8854
0;98;0.8550666666666666;0.8522
0;99;0.8535;0.8514
0;100;0.85425;0.8523
0;101;0.8475666666666667;0.8423
0;102;0.8647833333333333;0.8638
0;103;0.8457666666666667;0.8494
0;104;0.855;0.8559
0;105;0.8447;0.8435
0;106;0.8609666666666667;0.8605
0;107;0.8524166666666667;0.8545
0;108;0.8755166666666667;0.8777
0;109;0.8585;0.8679
0;110;0.8705166666666667;0.8677
0;111;0.8804;0.8787
0;112;0.8610833333333333;0.8571
0;113;0.8548;0.8521
0;114;0.8548666666666667;0.8523
0;115;0.8680833333333333;0.8687
0;116;0.8434666666666667;0.8424
0;117;0.85835;0.8592
0;118;0.8664833333333334;0.8711
0;119;0.86145;0.8577
0;120;0.8664333333333334;0.8704
0;121;0.8587833333333333;0.8576
0;122;0.8462666666666666;0.8413
0;123;0.8646833333333334;0.8686
0;124;0.8734333333333333;0.8728
0;125;0.8625;0.8633
0;126;0.8738166666666667;0.8767
0;127;0.8465666666666667;0.8438
0;128;0.8624333333333334;0.8605
0;129;0.8605166666666667;0.8638
0;130;0.8576166666666667;0.8563
0;131;0.8732;0.8743
0;132;0.8551666666666666;0.8526
0;133;0.8615833333333334;0.8612
0;134;0.8657;0.8658
0;135;0.8558833333333333;0.8627
0;136;0.8615666666666667;0.8673
0;137;0.8555833333333334;0.8495
0;138;0.8714;0.8689
0;139;0.8728333333333333;0.8687
0;140;0.8615333333333334;0.8599
0;141;0.8563666666666667;0.8521
0;142;0.8743;0.8739
0;143;0.8547833333333333;0.8508
0;144;0.8561;0.8532
0;145;0.8685333333333334;0.8656
0;146;0.8603166666666666;0.8575
0;147;0.8549166666666667;0.8537
0;148;0.85815;0.8553
0;149;0.8526333333333334;0.8589
0;150;0.8613833333333333;0.86
0;151;0.8659666666666667;0.8673
0;152;0.8665666666666667;0.8682
0;153;0.85345;0.8506
0;154;0.8685166666666667;0.865
0;155;0.8568166666666667;0.8633
0;156;0.8553833333333334;0.8509
0;157;0.8511666666666666;0.8536
0;158;0.8472666666666666;0.8522
0;159;0.8769;0.8754
0;160;0.8724166666666666;0.8767
0;161;0.87165;0.8739
0;162;0.8505333333333334;0.8472
0;163;0.86245;0.8589
0;164;0.8604166666666667;0.8585
0;165;0.8521;0.8498
0;166;0.8585666666666667;0.8639
0;167;0.8543333333333333;0.8487
0;168;0.8535833333333334;0.854
0;169;0.8526666666666667;0.8511
0;170;0.85065;0.8492
0;171;0.86495;0.862
0;172;0.8655333333333334;0.8657
0;173;0.8705;0.8684
0;174;0.8615333333333334;0.8581
0;175;0.8630166666666667;0.864
0;176;0.857;0.8599
0;177;0.8535666666666667;0.852
0;178;0.8651;0.8636
0;179;0.8570333333333333;0.8582
0;180;0.8600833333333333;0.8663
0;181;0.8631666666666666;0.861
0;182;0.8588;0.8605
0;183;0.8655833333333334;0.8683
0;184;0.8598666666666667;0.8603
0;185;0.8494666666666667;0.8528
0;186;0.875;0.871
0;187;0.8602333333333333;0.8645
0;188;0.8601666666666666;0.8595
0;189;0.85;0.8522
0;190;0.8605;0.8652
0;191;0.8562833333333333;0.8573
0;192;0.8532166666666666;0.8575
0;193;0.8674833333333334;0.8685
0;194;0.8403833333333334;0.8411
0;195;0.8470833333333333;0.8444
0;196;0.8639833333333333;0.8633
0;197;0.84565;0.8454
0;198;0.8582333333333333;0.8593
0;199;0.8497333333333333;0.8456
1;0;0.8636;0.8667
1;1;0.86915;0.8691
1;2;0.85125;0.8506
1;3;0.87185;0.868
1;4;0.8754166666666666;0.8754
1;5;0.8523833333333334;0.8505
1;6;0.8545333333333334;0.8473
1;7;0.8578166666666667;0.8543
1;8;0.8736833333333334;0.8764
1;9;0.8579;0.8546
1;10;0.8573666666666667;0.8538
1;11;0.8776333333333334;0.8764
1;12;0.8554833333333334;0.8617
