dim;train_accuracy;test_accuracy;time;tag
5;0.4091333333333333;0.3823;17.12044095993042;hog
10;0.56485;0.5379;17.57748246192932;hog
15;0.6086166666666667;0.5819;16.746819257736206;hog
20;0.6574666666666666;0.638;17.001006841659546;hog
25;0.7376166666666667;0.7197;17.0368812084198;hog
30;0.7540666666666667;0.7382;16.973880767822266;hog
35;0.7766333333333333;0.7601;17.050968885421753;hog
40;0.7875333333333333;0.7615;17.502073526382446;hog
45;0.7907333333333333;0.7754;16.90538787841797;hog
50;0.7947333333333333;0.7778;17.35406494140625;hog
60;0.80185;0.788;17.372905254364014;hog
70;0.80175;0.7812;17.054455518722534;hog
80;0.8072166666666667;0.7898;16.916010856628418;hog
90;0.80465;0.7876;17.084885358810425;hog
100;0.8044833333333333;0.787;17.300852060317993;hog
125;0.7887666666666666;0.7761;17.010518789291382;hog
150;0.7896166666666666;0.782;16.98261046409607;hog
200;0.7799333333333334;0.7681;17.029898643493652;hog
250;0.7755166666666666;0.7687;17.48578929901123;hog
300;0.7607166666666667;0.7463;17.173506498336792;hog
400;0.75375;0.7382;17.141767978668213;hog
500;0.7451166666666666;0.7373;17.14494514465332;hog
5;0.3637166666666667;0.3367;16.973689079284668;normal
10;0.4857166666666667;0.4638;16.930625200271606;normal
15;0.5740333333333333;0.5505;19.608370304107662;normal
20;0.6119333333333333;0.5854;17.264926195144653;normal
25;0.6912;0.6762;17.87380075454712;normal
30;0.6757666666666666;0.6672;19.390442371368408;normal
35;0.6940833333333334;0.6691;17.15670943260193;normal
40;0.7036;0.6777;17.35039710998535;normal
45;0.7267166666666667;0.7055;17.429342031478882;normal
50;0.7318833333333333;0.7123;17.180338144302368;normal
60;0.73865;0.7237;17.046870946884155;normal
70;0.73795;0.7197;17.279513835906982;normal
80;0.7349666666666667;0.7225;17.231021642684937;normal
90;0.738;0.7193;17.281563758850098;normal
100;0.7438166666666667;0.7337;17.30997395515442;normal
125;0.7371;0.7259;17.185597896575928;normal
150;0.7359166666666667;0.7224;17.28073263168335;normal
200;0.7294333333333334;0.7156;17.141607761383057;normal
250;0.7196333333333333;0.7052;17.234895706176758;normal
300;0.71605;0.7071;17.67029905319214;normal
400;0.7008833333333333;0.6892;17.107773303985596;normal
500;0.6965833333333333;0.6794;18.33420991897583;normal
5;0.6657833333333333;0.641;19.436326265335083;pca
10;0.7726166666666666;0.7547;18.419265270233154;pca
15;0.7787;0.7709;17.197860717773438;pca
20;0.7862166666666667;0.7781;18.02891731262207;pca
25;0.7825833333333333;0.7716;19.2405014038086;pca
30;0.78235;0.7677;17.28557562828064;pca
35;0.7748166666666667;0.767;17.007352828979492;pca
40;0.7686333333333333;0.768;18.850999116897583;pca
45;0.7692333333333333;0.7666;17.548370122909546;pca
50;0.7680666666666667;0.7599;17.40446162223816;pca
60;0.7612666666666666;0.7482;17.16964817047119;pca
70;0.7538833333333333;0.74;19.000194549560547;pca
80;0.7506833333333334;0.7431;20.737430095672607;pca
90;0.7484833333333333;0.7453;18.670072555541992;pca
100;0.7469333333333333;0.7447;17.170680284500122;pca
125;0.7376833333333334;0.7276;17.158833980560303;pca
150;0.7279833333333333;0.72;17.029091119766235;pca
200;0.7224166666666667;0.7144;17.084739923477173;pca
250;0.7177;0.7112;18.56251811981201;pca
300;0.7034666666666667;0.688;17.152586936950684;pca
400;0.6964166666666667;0.6925;18.65196323394776;pca
500;0.6901333333333334;0.6836;19.43450236320496;pca
5;0.8839166666666667;0.8635;17.29421329498291;umap
10;0.8953666666666666;0.8767;18.061496257781982;umap
15;0.8910666666666667;0.8699;17.5802481174469;umap
20;0.8998;0.8788;17.51236891746521;umap
25;0.89895;0.878;17.81900119781494;umap
30;0.8895333333333333;0.8545;20.358240365982056;umap
35;0.8952333333333333;0.8664;17.51336908340454;umap
40;0.8927666666666667;0.8561;17.058629512786865;umap
45;0.8906666666666667;0.8575;19.43169403076172;umap
50;0.8859166666666667;0.8443;17.433234691619873;umap
60;0.8882666666666666;0.853;17.22060513496399;umap
70;0.8865;0.855;17.579482316970825;umap
80;0.8785833333333334;0.8341;17.252005577087402;umap
90;0.8834333333333333;0.8513;17.158599853515625;umap
100;0.8722833333333333;0.8294;17.357144117355347;umap
125;0.8776;0.8481;17.34329605102539;umap
150;0.8569166666666667;0.8167;17.722654581069946;umap
200;0.8598333333333333;0.814;17.59961199760437;umap
250;0.8264333333333334;0.783;18.78919649124145;umap
300;0.8381833333333333;0.7951;17.906242609024048;umap
400;0.7750166666666667;0.7369;19.78201937675476;umap
500;0.81195;0.7834;18.32252073287964;umap
